Dim1,Dim2,Word
-53.93929,25.995571,"."""
-44.995533,19.93022,Grain
15.135268,66.93444,analyst
-28.138493,71.87366,predicts
-56.22105,23.321924,drop
19.03572,69.40196,20
-16.501865,72.64938,tonne
17.809853,74.03848,back
-40.95091,68.31515,Malcolm
-38.181206,19.329853,Bartholomaeus
-39.964737,70.50887,pool
10.210112,72.277756,returns
-46.01255,72.81945,already
-48.79373,67.45924,dropped
-38.12584,50.983894,year
10.818675,72.11518,price
-5.025155,76.57636,past
11.287813,75.474075,five
10.378619,73.147125,years
-12.176713,74.444725,through
-53.60246,17.113096,export
12.705365,73.9048,monopoly
12.531304,65.654526,severely
-43.1568,73.2758,eroded
-21.527067,71.59263,SA
-1.7255933,70.17905,farmers
-57.1005,12.976303,help
0.9584955,73.0808,fire
-1.1546795,69.57892,ravaged
13.869325,72.31648,neighbours
10.785166,72.5052,Farmers
-19.96823,71.31194,south
-44.509064,73.04199,east
-11.078223,75.582115,hay
-40.932663,49.32966,across
-19.853222,68.58838,border
8.022484,56.567463,wake
9.728313,73.22068,Grampians
-10.215796,72.82163,bushfires
-16.047646,72.904816,just
-38.133495,51.128387,few
-23.112486,69.72352,days
-19.93518,72.11583,donated
-55.87061,16.498478,250
-32.256523,64.57399,tonnes
-24.318123,62.34507,agistment
-57.0652,22.453161,cattle
8.562214,73.87793,They
-28.064096,62.070778,beginning
-45.93077,72.86662,Fodder
-39.43979,69.03168,drive
-39.51221,45.781548,coordinator
-41.888813,72.64522,response
-56.926216,13.136587,All
-20.94154,75.296074,week
16.616838,69.88363,gone
-38.85541,67.69772,places
-16.860096,73.28721,load
-42.385647,48.003857,or
-44.39452,73.0386,up
15.594737,72.05105,loads
-54.646935,25.316982,We
-1.2421645,71.48211,man
-28.169594,57.23037,full
-24.882965,71.62932,rest
20.923597,63.188274,straight
-45.98176,72.840576,we
-38.13318,50.9485,re
15.145671,70.097565,moving
-53.87708,26.020004,A
-32.243294,62.666016,major
-7.6103516,73.42017,between
20.907518,63.15901,Northern
13.900105,70.480644,Territory
-42.19533,72.56508,Western
-8.45812,75.35947,remains
-18.87554,69.897026,blocked
11.400416,75.215775,floodwaters
-5.3262925,73.76365,today
-41.77339,48.980732,Victoria
-13.329712,74.47695,River
-45.751995,33.566235,cut
-43.860332,73.1325,Highway
3.7989101,72.267296,also
-50.783638,27.112812,flooded
-38.170082,36.925983,remote
-45.748413,33.573486,Hole
-37.5529,44.80667,Aboriginal
-15.1221485,77.58066,community
17.26969,68.48699,Simon
-3.201586,71.661125,describes
-42.213097,72.25774,hundred
-17.164408,68.7863,higher
-31.56115,62.135883,ground
-44.414593,72.99024,vehicles
-12.699964,72.42274,moved
-40.29079,73.9787,out
5.957207,72.36846,set
-18.790304,70.02973,were
12.401964,70.80574,more
-42.92144,47.184307,couple
-9.904467,70.5494,boats
-52.343246,27.53278,onto
16.162851,71.58082,only
-45.717266,73.1091,500
-41.534138,40.26968,metres
19.293985,70.36867,river
-2.1373937,74.356285,might
-9.258847,72.91593,little
2.066899,71.614365,but
-53.247406,18.209394,[
20.093868,54.588478,]
1.6445785,70.67902,start
-40.25962,70.678665,down
-56.66891,23.214443,sold
-40.47153,43.148373,Tasmania
-38.238056,50.608337,main
15.461733,71.906235,changed
-23.210367,69.86105,second
17.524979,73.68044,three
-18.4012,69.607376,former
7.795417,74.48234,state
-45.965706,72.87497,owned
-44.028694,52.458256,Tasmanian
-40.839993,68.51819,local
-35.487953,66.36273,agribusiness
-31.89338,63.708878,Roberts
-42.02857,44.51382,Limited
-46.984756,42.50785,9
-56.930573,17.110023,deal
-45.683475,41.02497,includes
-41.967403,71.82519,silos
-52.33077,20.87649,Launceston
16.695583,70.13254,northern
-4.5717163,56.550438,bid
-35.39589,55.061268,when
-45.99942,38.3942,board
-40.16774,43.543247,first
10.276097,70.12393,disappointed
-56.707638,13.18266,weren
13.501535,71.46447,successful
-48.804356,67.520294,point
-45.230682,42.92781,Wine
-15.221844,72.624825,workers
-33.981346,53.873165,stop
-53.914165,25.99782,work
-41.90413,48.866524,Workers
18.872982,69.35457,Wines
19.02746,73.30279,Stanley
19.266417,70.05069,winery
-51.12691,18.428461,walked
-23.49797,61.043545,off
-56.495033,15.785353,job
16.081568,71.97138,staff
-44.486523,37.301247,morning
-43.391323,43.934578,dispute
-10.561527,71.35339,new
-0.99695075,69.04878,bargaining
-13.371388,74.44249,agreement
-56.831688,13.775055,comes
-42.574425,71.132835,region
14.322071,72.09155,wine
-45.81795,72.62853,grape
19.07613,52.776802,crush
-47.26304,38.201412,gets
-43.664394,43.89743,under
-1.1682329,71.631386,took
-30.560104,60.053406,matter
5.2663836,75.5265,Industrial
-1.0190517,64.534096,Commission
15.987602,66.054184,(
-16.28581,69.29419,)
-1.2726731,66.633484,Friday
16.369774,58.530384,Wool
19.601639,62.51392,body
-1.3455682,75.36427,eyes
3.740964,70.37852,industry
2.0471168,66.3889,50
-42.24495,72.17531,billion
6.9046183,71.838715,global
15.160898,72.671646,target
-53.572315,18.91053,wool
-48.573357,28.854717,promotion
21.050276,67.2992,Australian
-56.00143,19.7279,Innovation
-41.19351,71.73278,AWI
-42.45075,72.15353,).
-21.497686,66.2611,showing
-57.02579,16.981085,blend
5.9966226,71.842186,casual
8.803734,73.77939,wear
-10.442663,73.97935,manufacturers
-12.374303,73.88917,largest
-40.89942,46.756992,being
-44.498817,72.84871,held
15.16747,56.539215,Germany
2.996862,70.45248,Len
14.856121,68.611496,Stephens
-56.287933,22.603582,end
-3.0508444,67.6794,shoppers
-8.915162,74.91767,willing
-11.97337,72.95101,pay
7.898831,70.50691,sports
-41.568615,41.759354,sector
-46.07222,72.57935,certainly
3.1636045,69.016685,fastest
-0.74536014,63.350815,growing
-21.746492,67.904465,world
-3.52312,70.22028,no
-52.967552,26.751247,secret
17.689964,56.397793,hasn
-15.368875,71.50345,big
16.17046,68.55621,share
-8.975996,70.79023,level
-55.322403,16.834358,particularly
5.9617195,70.515366,merino
-14.612351,67.91818,really
-44.420155,72.076,almost
21.532503,62.16408,below
-22.024044,67.05387,radar
-43.068333,70.67168,Organisation
-21.691566,71.34102,step
-19.540796,67.62667,banning
-18.388445,69.79415,rodeos
-28.460724,66.53983,campaign
-41.334835,42.69416,rodeo
-42.296963,34.09975,sustained
-3.0548253,68.26207,attack
-55.819466,9.856184,animal
-40.230324,67.01873,rights
-55.13803,26.7995,activists
0.34111083,66.75418,destroyed
-56.79655,16.866243,weekend
-20.72744,66.500206,event
17.47685,53.024952,horse
4.8634386,68.3735,breaking
-25.04108,57.95821,leg
6.5758595,71.06493,Saturday
-26.39951,66.496346,Two
-33.658924,63.907833,weeks
-31.71993,49.047264,ago
-28.401684,72.5897,bull
15.702218,66.65548,apparently
-13.208975,68.91467,during
-31.496506,48.81697,riding
-53.10629,24.200577,competition
14.217889,70.5203,owner
-56.32828,19.162289,both
7.008301,70.58909,animals
-52.91256,26.952795,Brian
19.356693,53.39842,Fish
-3.9325998,73.973724,unfortunate
-42.209084,33.030727,accidents
-41.51572,49.077564,welfare
-8.995514,72.36371,issue
-24.94665,57.2074,Emma
-30.042452,59.466637,Haswell
-22.996841,69.52728,Animal
15.741984,69.51392,her
19.66932,58.629566,organisation
-19.444094,65.79005,efforts
-9.357989,60.330383,banned
-15.090665,77.831955,used
-55.40447,24.093147,cancer
-38.44881,42.98367,research
5.6326613,69.75678,investigate
-30.427721,61.0562,sea
-42.199192,70.19607,snails
-23.440357,60.962257,eventually
-35.500813,38.1636,treat
1.2685539,68.09849,Until
-26.381327,66.45544,now
-9.404859,72.48617,snail
5.321329,71.72394,population
5.464989,71.5103,virtually
-7.763095,73.214226,Flinders
-46.391315,27.049,University
17.30659,68.64502,hopes
-18.039015,69.321686,discover
-29.85619,62.89938,beneficial
-8.538776,69.43723,compounds
-26.857067,62.89913,predatory
-42.59315,72.28848,known
-3.4266372,70.23047,Marine
1.1941361,70.42644,biologist
-55.11255,13.334698,Dr
-55.377174,24.104454,follows
-12.5669365,70.807526,where
21.62559,62.432884,clinical
1.1538999,70.28975,trials
-31.584778,62.98499,investigating
-9.698499,73.76164,anti
5.8061843,71.53328,properties
-49.51348,18.190977,m
-15.303955,71.08679,looking
-52.471058,23.72501,currently
-44.1678,71.8839,harvested
-51.46205,21.969276,considered
-15.408718,71.33462,useful
-15.598804,76.59703,resource
11.207204,69.025764,so
6.0941086,71.7782,lot
-37.720222,66.00173,potential
2.4766722,68.334366,economic
27.540445,54.7651,benefits
-44.013798,71.63733,side
